"","TICKER","VALOR"
"1","ALSO3.SA",26.33
"2","BBAS3.SA",34.169998
"3","BBSE3.SA",28.85
"4","BRFS3.SA",20.120001
"5","BRSR6.SA",13.69
"6","CYRE3.SA",27.139999
"7","ENEV3.SA",64.870003
"8","GMAT3.SA",8.81
"9","GOAU4.SA",11.53
"10","HBOR3.SA",10.05
"11","ITUB4.SA",29.9
"12","LAME3.SA",19.82
"13","LREN3.SA",42.470001
"14","MGLU3.SA",25.51
"15","NTCO3.SA",49.310001
"16","OIBR3.SA",2.21
"17","PETR4.SA",27.73
"18","PSSA3.SA",50.150002
"19","RLOG3.SA",19.459999
"20","ROMI3.SA",16.879999
"21","TOTS3.SA",29.809999
"22","VALE3.SA",94.209999
"23","VIVT3.SA",43.759998
"24","VVAR3.SA",14.31
"25","WEGE3.SA",88.129997
